rowid,lat,lon,abnb_tot_reviews_per_month,h_cat1txt,h_country,local200_n_agrupaciones,local300_n_shops24h,tp_reviews_med,h_name,cad_tot_srf_hotels,fl_n_user,h_locality,rn_med_tramo,tp_reviews_avg,h_subadministrativearea,local200_n_prox_noalim,tp_pricerange_med,fl_txt_madrid,h_phone,local300_n_restaurants,tp_pricerange_avg,local200_n_alojamiento,tp_offers_tot,local200_n_prox_supers,local200_n_prox_fresco,rn_ab_tot_price,local300_n_locutoris,tp_rating_med,tp_pricerange_3,h_language,local200_n_locales,tp_pricerange_2,local200_n_sex,rn_ab_min_price,tp_pricerange_tot,local200_n_epigrafes,rn_ab_avg_price,local200_n_shops24h,h_longitude,rn_ab_offer,rn_ab_med_price,fl_n_date,cad_pk,abnb_tot_owners,fl_n_tourists,local300_n_locales,tp_pk,abnb_tot_beds,local300_n_epigrafes,rn_ab_max_price,local200_n_locutoris,local300_n_agrupaciones,abnb_tot_hosts_listings,local200_n_fiesta,abnb_tot_offer,rn_fc_min_price,abnb_tot_reviews,h_body,h_cat1cod,local300_n_vacios,local200_n_desconocidos,h_cat2txt,tp_reviews_tot,fl_n_posts,abnb_tot_price,local300_n_prox_noalim,local300_n_sex,h_cat3txt,tp_rating_avg,fc_tot_offer,h_title,h_fax,rn_fc_offer,local200_n_restaurants,cad_tot_hotels,cad_tot_hab,local300_n_alquillercoche,tp_rating_min,local200_n_prox_educacion,abnb_pk,h_email,cad_tot_houses,local200_n_prox_alcohol,local300_n_prox_supersbig,h_web,fl_tag_madrid,local200_n_prox_supersbig,local300_n_prox_supers,h_zipcode,local300_n_prox_pastelerias,local300_n_prox_alcohol,tp_pricerange_1,tp_pricerange_0,fc_tot_owners,tp_rating_max,local200_n_prox_pastelerias,cad_tot_srf_houses,local200_n_vacios,rn_fc_max_price,h_latitude,rn_fc_avg_price,local200_n_shops,local200_n_alquillercoche,local300_n_fiesta,h_cat3cod,h_id,tp_rating_tot,cad_tot_parcs,h_address,h_cat2cod,local300_n_prox_fresco,local300_n_alojamiento,local300_n_desconocidos,rn_fc_med_price,fc_avg_price,tp_reviews_max,local300_n_shops,fl_n_locals,local300_n_prox_educacion,rn_fc_tot_price,tp_reviews_min,cad_med_consq
1,-3.632044,40.444307,,,,0,0,,,0,,,9,,,0,,,,9,,0,,0,0,,0,,,,7,,0,,,4,,0,,,,,4860,,,79,,,30,,0,1,,0,,,,,,0,0,,,,,1,0,,,,,,,4,0,332,0,,0,,,192,0,0,,,0,2,,0,0,,,,,0,11394,0,,,,0,0,0,,,,33,,,0,0,0,,,,0,,2,,,4
2,-3.632424,40.484876,,,,0,0,,,0,,,9,,,0,,,,2,,0,,0,0,,0,,,,16,,0,,,6,,0,,,,,4881,,,34,,,14,,0,0,,0,,,,,,0,0,,,,,0,0,,,,,,,0,0,50,0,,0,,,153,0,0,,,0,0,,0,0,,,,,0,15460,0,,,,0,0,0,,,,13,,,0,0,0,,,,0,,1,,,3.29969
3,-3.631679,40.405299,,,,0,0,,,0,1,,9,,,1,,0,,15,,0,,2,2,,0,,,,50,,0,,,25,,0,,,,1,4843,,0,115,,,57,,0,0,,0,,,,,,2,0,,,1,,4,0,,,,,,,7,0,826,0,,1,,,317,0,0,,0,0,4,,1,0,,,,,1,32985,1,,,,0,0,0,,,,3,,,8,0,0,,,,0,1,2,,,4.25699
4,-3.632059,40.445868,,,,0,0,,,0,1,,10,,,1,,1,,12,,0,,2,0,,0,,,,49,,0,,,34,,0,,,,1,4861,,0,81,,,35,,0,0,,0,,,,,,1,0,,,1,,1,0,,,,,,,12,0,114,0,,3,,,64,0,0,,1,0,2,,0,0,,,,,0,9200,1,,,,0,0,0,,,,2,,,0,0,0,,,,0,1,3,,,3
5,-3.632439,40.486436,0.65,,,0,0,,,0,,,9,,,0,,,,0,,0,,0,0,4258.33333333333,0,,,,8,,0,4258.33333333333,,3,4258.33333333333,0,,1,4258.33333333333,,4882,1,,27,,3,7,4258.33333333333,0,0,1,0,1,,20,,,0,0,,,,140,0,0,,,,,,,0,0,11,0,,0,2360,,33,0,0,,,0,0,,0,0,,,,,0,4256,0,,,,0,0,0,,,,1,,,0,0,0,,,,0,,0,,,4
6,-3.631694,40.406859,,,,0,0,4,,0,,,7.5,4,,2,0,,,14,0,0,1,0,1,,0,3,0,,32,0,0,,1,27,,0,,,,,4844,,,117,1984,,61,,0,0,,0,,,,,,1,0,,4,,,3,0,,3,,,,,8,0,711,0,3,1,,,248,0,0,,,0,2,,1,0,0,1,,3,1,27162,0,,,,0,0,0,,,1,2,,,3,0,0,,,4,0,,9,,4,3.83932
7,-3.632073,40.447428,,,,0,0,,,0,,,10,,,1,,,,12,,0,,2,0,,0,,,,48,,0,,,33,,0,,,,,4862,,,60,,,40,,0,0,,0,,,,,,1,0,,,,,1,0,,,,,,,10,0,145,0,,3,,,81,0,0,,,0,2,,0,0,,,,,0,11220,1,,,,0,0,0,,,,1,,,0,0,0,,,,0,,3,,,3
8,-3.632454,40.487996,,,,,0,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,5,,,2,,,0,,,,,,,,0,,,,,,0,0,,,,,,,,,,0,,,,,,,0,,,,0,,0,0,,,,,,,,,,,,,0,,,,,,,0,0,0,,,,0,,0,,,
9,-3.631708,40.40842,,,,0,0,6,,0,,,9,6,,2,0,,,16,0,0,1,0,2,,0,2.5,0,,57,0,0,,1,44,,0,,,,,4845,,,149,1985,,65,,0,0,,0,,,,,,0,0,,6,,,8,0,,2.5,,,,,8,0,645,0,2.5,8,,,250,0,0,,,0,2,,7,0,0,1,,2.5,1,25548,0,,,,0,0,0,,,1,2,,,10,0,0,,,6,0,,11,,6,4.445245
10,-3.632088,40.448988,,,,0,0,,,,1,,,,,0,,0,,5,,0,,0,0,,0,,,,8,,0,,,7,,0,,,,1,,,0,40,,,30,,0,0,,0,,,,,,1,0,,,1,,1,0,,,,,,,0,,,0,,0,,,,0,0,,0,0,1,,0,0,,,,,0,,0,,,,0,0,0,,,,,,,0,1,0,,,,0,1,1,,,
11,-3.631344,40.369411,,,,,0,,,,,,2,,,,,,,2,,,,,,,0,,,,,,,,,,,,,,,,,,,4,,,4,,,0,,,,,,,,0,,,,,,0,0,,,,,,,,,,0,,,,,,,0,,,,1,,0,0,,,,,,,,,,,,,0,,,,,,,0,0,0,,,,0,,0,,,
12,-3.631723,40.40998,,,,0,0,,,0,,,9,,,2,,,,16,,0,,1,3,,0,,,,52,,0,,,36,,0,,,,,4846,,,172,,,76,,0,1,,0,,,,,,0,1,,,,,13,0,,,,,,,4,0,765,0,,5,,,297,0,0,,,0,2,,5,0,,,,,1,32423,0,,,,0,0,0,,,,3,,,15,0,1,,,,0,,11,,,4.44332
