,OBJECTID,NOMDIS,CODBAR,CODDISTRIT,CODBARRIO,NOMBRE,precio,Shape_area,Shape_len
0,1,Centro,11,1,1-1,Palacio,19.94,1469906.05229,5754.82821447
1,2,Centro,12,1,1-2,Embajadores,20.96,1033724.33312,4275.22673376
2,3,Centro,13,1,1-3,Cortes,23.09,591874.25584,3731.08126327
3,4,Centro,14,1,1-4,Justicia,22.76,739414.014077,3597.42107606
4,5,Centro,15,1,1-5,Universidad,20.72,948026.712968,4060.07553368
5,6,Centro,16,1,1-6,Sol,21.07,445300.842363,2719.29244135
6,7,Arganzuela,21,2,2-1,Imperial,15.04,967678.647478,4557.93796787
7,8,Arganzuela,22,2,2-2,Acacias,15.57,1073437.86736,3950.32694753
8,9,Arganzuela,23,2,2-3,Chopera,14.67,567787.008146,3203.4086224
9,10,Arganzuela,24,2,2-4,Legazpi,14.21,1414470.59518,5141.64089648
10,11,Arganzuela,25,2,2-5,Delicias,16.07,1054678.79297,4818.00275042
11,12,Arganzuela,26,2,2-6,Palos de Moguer,15.28,648442.555551,3647.74655261
12,13,Arganzuela,27,2,2-7,Atocha,15.74,735680.615063,4957.68741966
13,14,Retiro,31,3,3-1,Pacifico,15.21,758250.32501,4017.27787971
14,15,Retiro,32,3,3-2,Adelfas,19.26,640789.184756,3584.88634983
15,16,Retiro,33,3,3-3,Estrella,13.64,1025524.26656,4441.31055
16,17,Retiro,34,3,3-4,Ibiza,18.47,491968.665219,2912.81594568
17,18,Retiro,35,3,3-5,Jeronimos,20.84,1906398.121,5287.48508078
18,19,Retiro,36,3,3-6,Nino Jesus,15.97,643280.604283,3545.83250448
19,20,Salamanca,41,4,4-1,Recoletos,10.78,873144.950875,3926.67795978
20,21,Salamanca,42,4,4-2,Goya,20.53,770293.580744,3473.08464723
21,22,Salamanca,43,4,4-3,Fuente del Berro,17.02,852575.785569,3886.35062104
22,23,Salamanca,44,4,4-4,Guindalera,17.6,1602789.67781,5192.25249196
23,24,Salamanca,45,4,4-5,Lista,19.53,520214.471821,3233.58374956
24,25,Salamanca,46,4,4-6,Castellana,19.95,773385.204095,3746.20634427
25,26,Chamart�n,51,5,5-1,El Viso,17.44,1709233.10074,5270.83070113
26,27,Chamart�n,52,5,5-2,Prosperidad,10.49,1040058.27724,5253.17292718
27,28,Chamart�n,53,5,5-3,Ciudad Jardin,17.8,762309.338098,3915.01630483
28,29,Chamart�n,54,5,5-4,Hispanoamerica,18.19,1712523.13874,6079.0049173
